anime_id,name,genre,type,episodes,rating,members,episode_class
7791,K-On!!,"Comedy, Music, School, Slice of Life",TV,26,8.14,246276,1
17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100,1
535,Slayers Next,"Adventure, Comedy, Demons, Fantasy, Magic",TV,26,8.14,39832,1
2762,Igano Kabamaru,"Adventure, Comedy, Romance, Shounen",TV,24,8.13,5063,1
14713,Kamisama Hajimemashita,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,13,8.13,189641,1
31098,Ushio to Tora (TV) 2nd Season,"Comedy, Demons, Shounen, Supernatural",TV,13,8.13,43916,1
33253,Ajin 2nd Season,"Action, Horror, Mystery, Seinen, Supernatural",TV,13,8.12,51382,1
1471,City Hunter 2,"Action, Comedy, Mystery, Shounen",TV,63,8.12,8199,4
27831,Durarara!!x2 Ten,"Action, Mystery, Supernatural",TV,12,8.12,132506,1
2924,ef: A Tale of Memories.,"Drama, Mystery, Romance",TV,12,8.12,151106,1
3907,Ginga Sengoku Gunyuuden Rai,"Adventure, Romance, Sci-Fi, Shounen, Space",TV,52,8.12,5308,3
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",TV,13,8.12,45825,1
10080,Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.12,194300,1
9941,Tiger &amp; Bunny,"Action, Comedy, Mystery, Super Power",TV,25,8.12,104075,1
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Drama, Romance, School",TV,13,8.12,353876,1
21855,Hanamonogatari,"Comedy, Mystery, Supernatural",TV,5,8.11,124886,0
11739,Kimi to Boku. 2,"Comedy, Drama, Romance, School, Shounen, Slice of Life",TV,13,8.11,44564,1
2159,Ookiku Furikabutte,"Comedy, Sports",TV,25,8.11,49599,1
28297,Ore Monogatari!!,"Comedy, Romance, Shoujo",TV,24,8.11,200833,1
861,xxxHOLiC,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,24,8.11,150872,1
9996,Hyouge Mono,"Historical, Samurai, Seinen",TV,39,8.10,10649,2
77,Mahou Shoujo Lyrical Nanoha A&#039;s,"Action, Comedy, Drama, Magic, Super Power",TV,13,8.10,41685,1
32093,Tanaka-kun wa Itsumo Kedaruge,"Comedy, School, Slice of Life",TV,12,8.10,101335,1
5678,Kobato.,"Comedy, Drama, Fantasy",TV,24,8.09,88986,1
6774,Kuuchuu Buranko,"Comedy, Drama, Psychological, Seinen",TV,11,8.09,41521,1
15,Eyeshield 21,"Action, Comedy, Shounen, Sports",TV,145,8.08,83648,4
